mmsi;signalpower;ppm;received_at;station_id;msg_id;imo ( International Maritime Organization number);callsign;shipname;shiptype (https://api.vtexplorer.com/docs/ref-aistypes.html) faire table;to_port;to_bow;to_stern;to_starboard;eta (estimation destination);draught (The depth of water a ship needs to float.);destination;status;turn;speed;lat;lon;course;heading;aid_type;alt;count (nombre personne);msg_types;channels
12345678;-19.364628;-4.62963;18/04/2024 00:39;0;NULL;NULL;PQ1939;PERROQUET;36;2;9;5;1;NULL;NULL;NULL;NULL;NULL;0;91;181;360;511;NULL;NULL;6;17039360;3
205761630;-12.717361;-8.680555;27/04/2024 00:01;0;NULL;NULL;;ECLIPSE;36;0;8;8;5;NULL;NULL;NULL;NULL;NULL;0;-22.276909;166.43768;360;511;NULL;NULL;6;17039360;3
209135000;-3.223835;-1.446759;20/04/2024 05:36;0;NULL;9395604;5BUZ4;CONTSHIP WIN;74;15;133;15;8;04-24T17:30Z;7.5;NZTRG;5;0;0;-22.263968;166.43202;0.1;286;NULL;NULL;184;40;3
209591000;-3.439406;-5.787037;04/09/2024 19:26;0;NULL;9347982;5BFN5;CONTSHIP TEN;71;12;131;16;12;09-12T00:00Z;8.3;PFPPT];5;0;0;-22.264482;166.43428;181.6;103;NULL;NULL;461;42;3
211422810;-9.785229;3.761574;16/05/2024 04:20;0;NULL;NULL;DJ9649;NES PUCK;36;1;14;1;3;NULL;NULL;NULL;NULL;NULL;0.1;-22.286777;166.43434;150.1;150;NULL;NULL;2243;17039360;3
212744000;-10.508303;-3.472222;29/03/2024 02:08;0;NULL;9457828;5BWH2;NORDISLE;89;10;95;25;10;03-29T19:00Z;6.6;NC NEP;1;0;0;-22.237581;166.38795;34.8;113;NULL;NULL;63;40;3
215973000;-8.766074;0;21/04/2024 04:13;0;NULL;9857640;9HA5400;HANSEATIC SPIRIT;69;11;18;121;11;04-19T23:00Z;5.8;NENDOE;5;0;0;-22.270958;166.43681;62.4;356;NULL;NULL;95;40;3
219028898;-3.504622;-0.868056;02/09/2024 22:54;0;NULL;NULL;XPH7398;NAVICULA BLUE;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;4.4;-22.291552;166.40045;360;511;NULL;NULL;1278;17039360;3
219032229;-3.136742;-1.736111;03/04/2024 04:08;0;NULL;9950129;OZJQ2;CAPE SPENCER;70;21;147;42;12;04-06T06:00Z;7.9;"""NC NOU>AU BNE""";5;0;0;-22.263979;166.43225;109.6;285;NULL;NULL;57;40;3
227115990;-18.407299;-3.472222;03/04/2024 01:36;0;NULL;NULL;FAA3776;3 EPICES;36;2;13;1;2;NULL;NULL;NULL;NULL;NULL;0.1;-22.276169;166.44067;360;511;NULL;NULL;436;17039360;3
227163360;-17.16933;-6.076389;08/05/2024 22:01;0;NULL;NULL;NULL;HESITATION BLUES III;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;16777216;2
227175980;-20.417934;-1.446759;07/05/2024 22:03;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.5;-22.291563;166.3951;265.5;511;NULL;NULL;1;262144;2
227204960;-14.474148;-3.761574;14/06/2024 04:23;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.8;-22.287989;166.43887;73.5;511;NULL;NULL;4;262144;3
227275450;-14.676791;-1.736111;01/09/2024 06:46;0;NULL;NULL;FGD7964;OKEANOS;37;3;11;1;4;NULL;NULL;NULL;NULL;NULL;5;-22.283316;166.41942;104;511;NULL;NULL;43;17039360;3
227298140;-18.696295;-4.050926;02/05/2024 08:51;0;NULL;NULL;FAC5461;MORA MORA;36;4;5;10;4;NULL;NULL;NULL;NULL;NULL;0.1;-22.275698;166.4405;360;511;NULL;NULL;107;17039360;3
227380460;-19.148981;0.578704;05/05/2024 08:09;0;NULL;NULL;FAC7476;DOMINO I;36;3;6;4;1;NULL;NULL;NULL;NULL;NULL;4.2;-22.285944;166.39267;46.9;511;NULL;NULL;83;17039360;3
227430250;-17.729454;-0.289352;07/05/2024 22:30;0;NULL;NULL;;AMBRYM;36;2;5;7;2;NULL;NULL;NULL;NULL;NULL;2.9;-22.30568;166.39267;244.6;511;NULL;NULL;38;17039360;3
227460850;-18.542217;-0.578704;17/06/2024 23:25;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.3;-22.276655;166.4395;334.5;511;NULL;NULL;2;262144;2
227470040;-18.3261;-3.761574;17/06/2024 23:15;0;NULL;NULL;;GAIA;36;3;7;4;1;NULL;NULL;NULL;NULL;NULL;6.2;-22.292414;166.3982;255.8;255;NULL;NULL;100;17039360;3
227505420;-18.554028;2.893518;30/04/2024 22:50;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.8;-22.28527;166.42563;235.8;511;NULL;NULL;1;262144;1
227510220;-16.108027;4.62963;05/05/2024 06:54;0;NULL;NULL;;L'EMBELLIE;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;4.1;-22.287733;166.43085;111;511;NULL;NULL;42;17039360;3
227512140;-17.653938;-4.340278;28/04/2024 05:39;0;NULL;NULL;FJ4562;GETAWAY;36;0;12;0;4;NULL;NULL;NULL;NULL;NULL;3.7;-22.276884;166.43483;70.8;511;NULL;NULL;68;17039360;3
227567760;-15.423841;14.178241;19/04/2024 05:54;0;NULL;NULL;FGD5203;ULYS;36;0;12;0;4;NULL;NULL;NULL;NULL;NULL;0.1;-22.277704;166.42813;347.9;347;NULL;NULL;51;17039360;3
227647210;-11.027293;-2.604167;05/05/2024 12:03;0;NULL;NULL;NULL;WAVE DANCER;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;16777216;3
227667170;-19.489609;1.446759;04/05/2024 22:27;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.3;-22.287722;166.42279;239.7;511;NULL;NULL;1;262144;2
227701010;-18.648012;-0.868056;07/05/2024 22:10;0;NULL;NULL;;KRISEOLE;37;0;0;0;0;NULL;NULL;NULL;NULL;NULL;4.4;-22.295849;166.41736;213.3;511;NULL;NULL;10;17039360;3
227774660;-15.92724;-8.680555;04/09/2024 19:27;0;NULL;NULL;FGF9678;SONAM DOLMA;36;1;7;6;3;NULL;NULL;NULL;NULL;NULL;0.1;-22.290218;166.43634;210.3;511;NULL;NULL;345;17039360;3
227811190;-2.704002;-4.050926;03/09/2024 20:55;0;NULL;NULL;FAE7742;OFFLINE;36;3;14;1;1;NULL;NULL;NULL;NULL;NULL;6.4;-22.281122;166.4181;293.4;511;NULL;NULL;310;17039360;3
227998890;-20.331118;-2.314815;15/06/2024 01:30;0;NULL;NULL;FAH2359;NULL;97;0;0;0;0;NULL;NULL;NULL;NULL;NULL;0.1;-22.271944;166.42929;348.6;511;NULL;NULL;4;17039360;3
228027800;-4.195619;-6.365741;20/03/2024 20:15;0;NULL;9642409;FIEH;MN TANGARA;79;14;96;64;14;03-20T18:30Z;7.2;NC NOU;5;0;0;-22.26486;166.43579;104;104;NULL;NULL;284;42;3
228074470;-10.231485;1.446759;07/05/2024 23:00;0;NULL;NULL;FAH9910;VAITE;36;6;6;7;1;NULL;NULL;NULL;NULL;NULL;2.3;-22.271671;166.4358;0.7;511;NULL;NULL;2365;17039360;3
228078460;-20.252483;0.868056;30/04/2024 22:45;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;-22.284279;166.42554;260.6;511;NULL;NULL;1;262144;1
228084900;-17.676397;8.101851;29/03/2024 20:59;0;NULL;NULL;FJXG;MANUIA;36;2;7;6;2;NULL;NULL;NULL;NULL;NULL;5.7;-22.284658;166.39912;270.6;0;NULL;NULL;33;17039360;3
228110700;-14.644876;-2.893518;04/09/2024 07:03;0;NULL;NULL;FOKY;MAGIC ROOTS;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;0;-22.276604;166.43927;0;511;NULL;NULL;345;17039360;3
228110790;-15.860168;-6.365741;04/09/2024 07:52;0;NULL;NULL;FAJ481;SAN CRISTOBAL;36;4;8;8;4;NULL;NULL;NULL;NULL;NULL;0.3;-22.28548;166.44278;217;511;NULL;NULL;939;17039360;3
228111000;-16.839386;-2.025463;04/09/2024 07:15;0;NULL;9128506;FNUR;R/V ANTEA;30;6;17;18;6;09-11T17:30Z;3.9;NOUMEA;0;0;5.8;-22.304573;166.30733;163.90001;162;NULL;NULL;2232;16777258;3
228199610;-16.789433;-4.918982;04/09/2024 19:22;0;NULL;NULL;FWBR;JUMBO TOP;36;3;8;4;3;NULL;NULL;NULL;NULL;NULL;0.2;-22.281376;166.4324;7.5;511;NULL;NULL;342;17039360;3
228207900;-16.030499;-5.787037;04/09/2024 19:27;0;NULL;NULL;FWBC;NAUTILUS 360;60;5;6;18;6;NULL;NULL;NULL;NULL;NULL;0.1;-22.27647;166.43904;360;511;NULL;NULL;210;17039360;3
228379700;-2.991503;-4.918982;16/05/2024 04:19;0;NULL;7360655;FLXO;PLASTIC ODYSSEY;90;4;15;25;5;05-12T06:00Z;3.6;NOUMEA;1;127;0;-22.261808;166.41562;71.8;132;NULL;NULL;107;40;3
228451700;-11.214614;-0.578704;02/04/2024 06:46;0;NULL;9802504;FMXC;MARIUS;70;26;178;16;6;04-07T17:30Z;9.400001;AUBNE - BRISBANE;5;0;0;-22.26402;166.4327;351;284;NULL;NULL;24;40;3
229378000;-4.020588;0;17/03/2024 07:35;0;NULL;9616230;9HA3283;EUROPA 2;60;15;46;180;15;03-17T20:00Z;6.5;NC LIF;5;0;0;-22.27215;166.4369;199.40001;175;NULL;NULL;141;16777256;3
229660000;-2.91221;-1.446759;02/05/2024 03:38;0;NULL;9408372;9HA5547;SOFRANA SURVILLE;71;18;114;29;5;05-04T20:00Z;7.6;AUBNE;5;0;0;-22.263866;166.43185;199;284;NULL;NULL;102;40;3
232032840;-17.67885;-1.736111;05/05/2024 12:18;0;NULL;9192363;MIOY4;PACIFIC ENCOUNTER;60;25;39;251;25;05-05T21:00Z;8.6;LIFOU;0;0;18.5;-22.360819;166.55089;108.200005;107;NULL;NULL;461;42;3
232043039;-14.446831;-4.62963;05/05/2024 12:22;0;NULL;NULL;MLXU4;TOCCATA;37;0;0;0;0;NULL;NULL;NULL;NULL;NULL;0;-22.276482;166.43922;245.1;236;NULL;NULL;295;17039360;3
