"mmsi","signalpower","ppm","received_at","station_id","msg_id","imo","callsign","shipname","shiptype","to_port","to_bow","to_stern","to_starboard","eta","draught","destination","status","turn","speed","lat","lon","course","heading","aid_type","alt","count","msg_types","channels"
"503106710","0","0","2024-10-03 21:38:56","0",1,NULL,NULL,"ETHEL TURNER        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85469","151.18824",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503158960","0","0","2024-10-03 21:38:57","0",1,NULL,NULL,"ENGAGE RENEGADE     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86320333333334","151.18299833333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503730800","0","0","2024-10-03 21:38:57","0",1,NULL,NULL,"PV SHARP            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85559666666667","151.20290666666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503012800","0","0","2024-10-03 21:38:58","0",1,NULL,NULL,"OSCAR 2             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.87012166666667","151.187175",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503053140","0","0","2024-10-03 21:38:58","0",1,NULL,NULL,"FRED HOLLOWS        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86071","151.21192000000002",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503603000","0","0","2024-10-03 21:39:00","0",1,NULL,NULL,"FRESHWATER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.855125","151.18861166666665",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503161930","0","0","2024-10-03 21:39:02","0",1,NULL,NULL,"FRANCES BODKIN      ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.821616666666664","151.04682666666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"538010110","0","0","2024-10-03 21:39:04","0",3,NULL,NULL,"TS TIANJIN          ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.96069666666667","151.19916166666664",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503106720","0","0","2024-10-03 21:39:04","0",1,NULL,NULL,"KURT FEARNLEY       ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.82583","151.09661333333332",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"636015685","0","0","2024-10-03 21:39:05","0",3,NULL,NULL,"GSL CHRISTEL ELISABE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.97102666666667","151.21383333333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
